,id,Month,MinTemp,MaxTemp,Rainfall
0,0,1,17.17,28.12,3.22
1,0,2,16.37,26.48,3.48
2,0,3,15.54,25.74,3.47
3,0,4,13.07,23.59,3.53
4,0,5,10.82,21.46,2.93
5,0,6,9.75,19.88,3.16
6,0,7,9.29,19.79,2.33
7,0,8,9.82,21.06,2.16
8,0,9,11.42,23.03,1.73
9,0,10,13.11,24.6,1.88
10,0,11,15.22,26.17,2.75
11,0,12,15.77,26.57,2.35
12,1,1,12.75,25.52,1.73
13,1,2,12.17,24.3,1.37
14,1,3,11.33,23.2,1.49
15,1,4,9.53,20.88,1.7
16,1,5,8.22,18.4,1.81
17,1,6,6.94,16.92,1.78
18,1,7,6.88,16.93,1.88
19,1,8,7.52,18.04,1.65
20,1,9,8.25,19.39,1.9
21,1,10,9.29,21.17,1.89
22,1,11,10.92,22.96,2.12
23,1,12,11.58,24.4,1.54
24,2,1,21.63,29.82,7.66
25,2,2,21.25,29.56,6.55
26,2,3,20.9,29.08,6.53
27,2,4,19.07,27.93,4.88
28,2,5,17.33,26.44,2.86
29,2,6,16.1,25.41,2.26
30,2,7,15.79,25.4,2.1
31,2,8,16.2,26.18,2.46
32,2,9,17.72,27.42,1.83
33,2,10,18.75,27.87,2.64
34,2,11,20.38,28.98,3.05
35,2,12,20.96,29.32,5.42
36,3,1,13.88,27.9,1.15
37,3,2,13.22,26.61,1.1
38,3,3,12.16,24.85,0.99
39,3,4,10.5,22.35,1.31
40,3,5,8.97,19.52,1.4
41,3,6,7.71,18.16,1.65
42,3,7,7.63,18.21,1.62
43,3,8,8.26,19.36,1.67
44,3,9,9.06,20.82,1.6
45,3,10,10.34,23.25,1.25
46,3,11,11.88,25.24,1.05
47,3,12,12.68,26.43,1.12
48,4,1,14.74,28.19,1.13
49,4,2,14.39,27.7,0.98
50,4,3,13.5,25.77,1.27
51,4,4,11.91,24.04,1.38
52,4,5,10.03,21.72,2.62
53,4,6,9.54,20.23,3.19
54,4,7,9.2,19.91,3.44
55,4,8,9.5,20.66,3.46
56,4,9,9.63,21.76,2.55
57,4,10,11.22,23.94,1.72
58,4,11,12.49,25.7,1.36
59,4,12,13.63,26.95,1.12
60,5,1,11.48,22.0,1.81
61,5,2,10.75,21.17,1.26
62,5,3,10.19,20.52,1.77
63,5,4,8.17,18.54,1.56
64,5,5,6.96,16.43,1.99
65,5,6,5.92,15.08,1.92
66,5,7,5.74,15.07,1.9
67,5,8,6.51,16.2,1.92
68,5,9,7.79,17.38,2.17
69,5,10,8.2,18.26,1.61
70,5,11,9.69,19.44,2.14
71,5,12,10.44,20.89,1.52
72,6,1,21.54,33.38,6.18
73,6,2,20.64,33.13,5.85
74,6,3,20.15,33.02,3.61
75,6,4,17.72,31.29,1.37
76,6,5,15.88,29.28,1.26
77,6,6,13.76,28.06,1.02
78,6,7,13.94,28.36,1.07
79,6,8,15.01,29.98,0.94
80,6,9,17.56,31.78,1.48
81,6,10,19.24,33.14,1.63
82,6,11,20.48,33.69,2.7
83,6,12,20.88,33.26,5.66
84,7,1,10.47,23.72,2.37
85,7,2,9.04,21.44,3.0
86,7,3,8.43,20.2,2.43
87,7,4,5.67,17.26,2.14
88,7,5,3.22,14.84,2.07
89,7,6,2.74,13.1,2.4
90,7,7,1.98,12.92,1.99
91,7,8,2.67,14.14,2.07
92,7,9,4.1,16.37,2.34
93,7,10,5.82,18.7,2.12
94,7,11,8.12,20.93,2.79
95,7,12,8.93,21.92,2.68
